animalname,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
0,true,false,false,true,false,false,true,true,true,true,false,false,4,false,false,true,1
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1
0,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,4
0,true,false,false,true,false,false,true,true,true,true,false,false,4,false,false,true,1
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,1
0,false,false,true,false,false,true,false,true,true,false,false,true,0,true,true,false,4
0,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,4
0,true,false,false,true,false,false,false,true,true,true,false,false,4,false,true,false,1
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
0,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false,2
0,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,4
0,false,false,true,false,false,false,true,false,false,false,false,false,0,false,false,false,7
0,false,false,true,false,false,true,true,false,false,false,false,false,4,false,false,false,7
0,false,false,true,false,false,true,true,false,false,false,false,false,6,false,false,false,7
0,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,false,2
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1
0,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true,4
0,false,false,false,true,false,true,true,true,true,true,false,true,0,true,false,true,1
0,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false,2
0,false,true,true,false,true,true,false,false,true,true,false,false,2,true,false,false,2
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1
0,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,true,2
0,false,false,true,false,false,false,false,false,false,true,false,false,6,false,false,false,6
0,false,false,true,false,false,true,true,true,true,true,false,false,4,false,false,false,5
0,false,false,true,false,false,true,true,true,true,true,true,false,4,false,false,false,5
0,true,false,false,true,true,false,false,true,true,true,false,false,2,true,false,false,1
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1
0,true,false,false,true,false,false,true,true,true,true,false,false,2,false,true,true,1
0,false,false,true,false,true,false,false,false,false,true,false,false,6,false,false,false,6
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,1
0,true,false,false,true,false,false,false,true,true,true,false,false,2,false,false,true,1
0,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,2
0,false,false,true,false,false,true,false,true,true,false,false,true,0,true,false,false,4
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,false,1
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,false,1
0,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,false,2
0,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,4
0,true,false,true,false,true,false,false,false,false,true,true,false,6,false,true,false,6
0,true,false,true,false,true,false,false,false,false,true,false,false,6,false,false,false,6
0,false,true,true,false,false,false,true,false,true,true,false,false,2,true,false,false,2
0,false,false,true,false,true,false,true,false,false,true,false,false,6,false,false,false,6
0,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,2
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
0,false,false,true,false,false,true,true,false,false,false,false,false,6,false,false,false,7
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
0,true,false,false,true,false,true,true,true,true,true,false,false,4,true,false,true,1
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,false,1
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
0,true,false,true,false,true,false,false,false,false,true,false,false,6,false,false,false,6
0,false,false,true,false,false,true,true,true,true,true,false,false,4,true,false,false,5
0,false,false,true,false,false,true,true,false,false,false,false,false,8,false,false,true,7
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,false,1
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,true,1
0,false,true,true,false,false,false,false,false,true,true,false,false,2,true,false,true,2
0,false,true,true,false,true,false,false,false,true,true,false,false,2,true,true,false,2
0,false,true,true,false,false,true,true,false,true,true,false,false,2,true,false,true,2
0,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,2
0,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true,4
0,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,false,4
0,false,false,true,false,false,false,true,true,true,true,true,false,0,true,false,false,3
0,true,false,true,true,false,true,true,false,true,true,false,false,4,true,false,true,1
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,1
0,false,false,false,true,false,true,true,true,true,true,false,true,0,true,false,true,1
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,true,true,1
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,true,true,1
0,false,true,true,false,false,false,true,false,true,true,false,false,2,true,false,true,2
0,false,false,false,false,false,false,true,false,false,true,true,false,8,true,false,false,7
0,false,false,true,false,false,true,false,true,true,false,false,true,0,true,false,false,4
0,true,false,false,true,false,true,true,true,true,true,false,true,0,false,false,true,1
0,true,false,false,true,false,true,true,true,true,true,false,true,2,true,false,true,1
0,false,false,false,false,false,true,true,true,true,false,true,false,0,true,false,false,3
0,false,false,true,false,false,true,true,false,false,false,true,false,0,false,false,false,7
0,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,2
0,false,true,true,false,true,true,true,false,true,true,false,false,2,true,false,false,2
0,false,false,true,false,false,false,true,true,true,true,false,false,0,true,false,false,3
0,false,false,true,false,false,false,false,false,false,true,false,false,0,false,false,false,7
0,false,false,true,false,false,true,false,true,true,false,false,true,0,true,false,false,4
0,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,2
0,true,false,false,true,false,false,false,true,true,true,false,false,2,true,false,false,1
0,false,false,true,false,false,true,true,false,false,false,false,false,5,false,false,false,7
0,false,false,true,false,false,true,true,true,true,false,true,true,0,true,false,true,4
0,false,true,true,false,true,true,false,false,true,true,false,false,2,true,false,true,2
0,false,false,true,false,false,false,false,false,false,true,false,false,6,false,false,false,6
0,false,false,true,false,false,true,false,true,true,true,false,false,4,false,false,false,5
0,false,false,true,false,false,false,false,false,true,true,false,false,4,true,false,true,3
0,false,false,true,false,false,false,true,true,true,true,false,false,4,true,false,false,3
0,false,false,true,false,false,true,true,true,true,false,false,true,0,true,false,true,4
0,true,false,false,true,true,false,false,true,true,true,false,false,2,true,false,false,1
0,true,false,false,true,false,false,false,true,true,true,false,false,4,true,false,false,1
0,false,true,true,false,true,false,true,false,true,true,false,false,2,true,false,true,2
0,true,false,false,true,false,false,false,true,true,true,false,false,2,true,false,true,1
0,true,false,true,false,true,false,false,false,false,true,true,false,6,false,false,false,6
0,true,false,false,true,false,false,true,true,true,true,false,false,4,true,false,true,1
0,false,false,true,false,false,false,false,false,false,true,false,false,0,false,false,false,7
0,false,true,true,false,true,false,false,false,true,true,false,false,2,true,false,false,2
